OffspringID,InferredDad,InferredMum,Probability
KCHILGMR21p_341,*,#,1
KCHILGMR21p_342,*,KCHILFW20_2,1
KCHILGMR21p_343,*,KCHILGN20_64,1
KCHILGMR21p_344,*,#,1
KCHILGMR21p_345,*,KTAHI20_138,1
KCHILGMR21p_346,KKELS20_60,#,1
KCHILGMR21p_347,*,#,1
KCHILGMR21p_348,*,#,1
KCHILGMR21p_349,*,#,1
KCHILGMR21p_350,*,#,1
KCHILGMR21p_351,*,#,1
KCHILGMR21p_352,KCHILGN20_133,#,1
KCHILGMR21p_353,*,#,1
KCHILGMR21p_354,*,#,1
KCHILGMR21p_355,*,#,1
KCHILGMR21p_356,*,#,1
KCHILGMR21p_357,*,KKELS20_9,1
KCHILGMR21p_358,*,#,1
KCHILGMR21p_359,*,#,1
KCHILGMR21p_360,*,#,1
KCHILGMR21p_361,*,#,1
KCHILGMR21p_362,*,KCHILFW20_17,1
KCHILGMR21p_363,*,#,1
KCHILGMR21p_364,*,#,1
KCHILGMR21p_365,*,#,1
KCHILGMR21p_366,*,#,1
KCHILGMR21p_367,KCHILGN20_42,#,1
KCHILGMR21p_368,*,#,1
KCHILGMR21p_369,KTAHI20_159,#,1
KCHILGMR21p_370,*,#,1
KCHILGMR21p_371,*,#,1
KCHILGMR21p_372,KTAHI20_21,#,1
KCHILGMR21p_373,KTAHI20_109,#,1
KCHILGMR21p_374,*,#,1
KCHILGMR21p_375,*,#,1
KCHILGMR21p_376,*,KTAHI20_216,1
KCHILGMR21p_377,*,#,1
KCHILGMR21p_378,*,#,1
KCHILGMR21p_379,*,#,1
KCHILGMR21p_380,*,#,1
KCHILGMR21p_381,*,#,1
KCHILGMR21p_382,KCHILGN20_33,#,1
KCHILGMR21p_383,*,#,1
KCHILGMR21p_384,*,#,1
KCHILGMR21p_385,*,#,1
KCHILGMR21p_386,KCHILGN20_140,#,1
KCHILGMR21p_387,*,#,1
KCHILGMR21p_388,*,KTAHI20_77,1
KCHILGMR21p_389,*,KTAHI20_166,1
KCHILGMR21p_390,*,KTAHI20_84,1
KCHILGMR21p_391,KTAHI20_130,#,1
KCHILGMR21p_392,*,#,1
KCHILGMR21p_393,*,#,1
KCHILGMR21p_394,KTAHI20_190,#,1
KCHILGMR21p_395,*,#,1
KCHILGMR21p_396,*,#,1
KCHILGMR21p_397,*,#,1
KCHILGMR21p_398,*,#,1
KCHILGMR21p_399,*,#,1
KCHILGMR21p_400,*,#,1
KCHILGMR21p_401,KCHILGN20_86,KCHILFW20_60,1
KCHILGMR21p_402,*,KTAHI20_115,1
KCHILGMR21p_403,*,#,1
KCHILGMR21p_404,*,#,1
KCHILGMR21p_405,*,KTAHI20_47,1
KCHILGMR21p_406,*,#,1
KCHILGMR21p_407,*,#,1
KCHILGMR21p_408,*,#,1
KCHILGMR21p_409,*,#,1
KCHILGMR21p_410,*,#,1
KCHILGMR21p_411,KCHILFW20_7,#,1
KCHILGMR21p_412,*,#,1
KCHILGMR21p_413,*,#,1
KCHILGMR21p_414,*,#,1
KCHILGMR21p_415,*,#,1
KCHILGMR21p_416,*,#,1
KCHILGMR21p_417,*,#,1
KCHILGMR21p_418,*,#,1
KCHILGMR21p_419,KTAHI20_27,#,1
KCHILGMR21p_420,*,#,1
KCHILGMR21p_421,*,#,1
KCHILGMR21p_422,*,#,1
KCHILGMR21p_423,*,#,1
KCHILGMR21p_424,*,#,1
KCHILGMR21p_425,*,#,1
KCHILGMR21p_426,*,#,1
KCHILGMR21p_427,*,#,1
KCHILGMR21p_428,*,#,1
KCHILGMR21p_429,*,#,1
KCHILGMR21p_430,*,#,1
KCHILGMR21p_431,KCHILGN20_133,KCHILFW20_118,1
KCHILGMR21p_432,KKELS20_4,#,1
KCHILGMR21p_433,*,#,1
KCHILGMR21p_434,*,KKELS20_42,1
KCHILGMR21p_435,*,#,1
KCHILGMR21p_436,*,#,1
KCHILGMR21p_437,*,#,1
KCHILGMR21p_438,KTAHI20_10,#,1
KCHILGMR21p_439,*,#,1
KCHILGMR21p_440,KKELS20_60,KKELS20_61,1
KCHILGMR21p_441,*,#,1
KCHILGMR21p_443,*,#,1
KCHILGMR21p_444,KKELS20_4,#,1
KCHILGMR21p_445,*,KTAHI20_199,1
KCHILGMR21p_446,*,#,1
KCHILGMR21p_447,*,#,1
KCHILGMR21p_448,*,#,1
KCHILGMR21p_449,*,KTAHI20_84,1
KCHILGMR21p_450,KTAHI20_60,#,1
KCHILGMR21p_452,KCHILGN20_71,KKELS20_42,1
KCHILGMR21p_453,*,#,1
KCHILGMR21p_454,*,#,1
KCHILGMR21p_455,KCHILGN20_138,#,1
KCHILGMR21p_456,*,#,1
KCHILGMR21p_457,*,KCHILGN20_151,1
KCHILGMR21p_458,KTAHI20_106,#,1
KCHILGMR21p_459,*,#,1
KCHILGMR21p_460,KTAHI20_190,#,1
KCHILGMR21p_461,*,#,1
KCHILGMR21p_462,*,#,1
KCHILGMR21p_463,*,KTAHI20_102,1
KCHILGMR21p_464,KKELS20_20,KKELS20_23,1
KCHILGMR21p_465,*,#,1
KCHILGMR21p_466,*,KTAHI20_43,1
KCHILGMR21p_467,*,#,1
KCHILGMR21p_468,*,#,1
KCHILGMR21p_469,*,#,1
KCHILGMR21p_470,*,#,1
KCHILGMR21p_471,*,#,1
KCHILGMR21p_472,*,#,1
KCHILGMR21p_473,*,#,1
KCHILGMR21p_474,*,#,1
KCHILGMR21p_475,*,KTAHI20_170,1
KCHILGMR21p_476,*,KTAHI20_162,1
KCHILGMR21p_477,KTAHI20_159,#,1
KCHILGMR21p_478,*,#,1
KCHILGMR21p_479,*,KTAHI20_29,1
KCHILGMR21p_480,*,#,1
KCHILGMR21p_481,KKELS20_4,#,1
KCHILGMR21p_482,*,#,1
KCHILGMR21p_483,*,#,1
KCHILGMR21p_484,*,#,1
KCHILGMR21p_485,*,#,1
KCHILGMR21p_486,*,#,1
KCHILGMR21p_487,*,#,1
KCHILGMR21p_488,*,#,1
KCHILGMR21p_489,*,#,1
KCHILGMR21p_490,*,#,1
KCHILGMR21p_491,*,#,1
KCHILGMR21p_492,*,#,1
KCHILGMR21p_493,*,#,1
KCHILGMR21p_494,*,#,1
KCHILGMR21p_495,*,#,1
KCHILGMR21p_496,*,KKELS20_23,1
KCHILGMR21p_497,*,#,1
KCHILGMR21p_498,*,KCHILFW20_55,1
KCHILGMR21p_499,*,#,1
KCHILGMR21p_500,KKELS20_79,KKELS20_70,1
KCHILGMR21p_501,*,KCHILGN20_69,1
KCHILGMR21p_502,*,#,1
KCHILGMR21p_503,*,KCHILGN20_48,1
KCHILGMR21p_506,*,#,1
